slug,title,category,date,word_count,thin_flag,duplicate_cluster_id,cannibalization_group,internal_link_count,boilerplate_ratio,demand,label,reason
10-best-africa-countries-to-visit-in-2026-with-visa-tips,10 Best Africa Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1387,,dup-007,,7,0.398,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-asia-countries-to-visit-in-2026-with-visa-tips,10 Best Asia Countries to Visit in 2026 (With Visa Tips),Travel Tips,2026-06-15,1460,,dup-007,,7,0.377,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-budget-destinations-for-bangladesh-travelers-in-2026,10 Best Budget Destinations for Bangladeshi Travelers in 2026,Travel Tips,2026-06-15,1407,,dup-010,,7,0.046,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-egypt-travelers-in-2026,10 Best Budget Destinations for Egyptian Travelers in 2026,Travel Tips,2026-06-15,1443,,dup-014,,6,0.045,med,CUT,"templated doorway in dup-014 (n=15 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-india-travelers-in-2026,10 Best Budget Destinations for Indian Travelers in 2026,Travel Tips,2026-06-15,1433,,dup-007,,7,0.383,med,CUT,"templated doorway in dup-007 (n=38 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-nepal-travelers-in-2026,10 Best Budget Destinations for Nepali Travelers in 2026,Travel Tips,2026-06-15,1448,,dup-014,,6,0.045,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
10-best-budget-destinations-for-nigeria-travelers-in-2026,10 Best Budget Destinations for Nigerian Travelers in 2026,Travel Tips,2026-06-15,1405,,dup-010,,7,0.046,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-pakistan-travelers-in-2026,10 Best Budget Destinations for Pakistani Travelers in 2026,Travel Tips,2026-06-15,1406,,dup-010,,7,0.031,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-philippines-travelers-in-2026,10 Best Budget Destinations for Filipino Travelers in 2026,Travel Tips,2026-06-15,1447,,dup-010,,7,0.044,med,CUT,"templated doorway in dup-010 (n=25 near-dupes), med-demand; noindex + remove/redirect"
10-best-budget-destinations-for-sri-lanka-travelers-in-2026,10 Best Budget Destinations for Sri Lankan Travelers in 2026,Travel Tips,2026-06-15,1458,,dup-014,,6,0.044,low,CUT,"templated doorway in dup-014 (n=15 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-adventure-seekers-in-2026-visa-budget-guide,10 Best Countries for Adventure Seekers in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1415,,dup-007,,7,0.389,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-beach-lovers-in-2026-visa-budget-guide,10 Best Countries for Beach Lovers in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1394,,dup-007,,7,0.394,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-digital-nomads-in-2026-visa-budget-guide,10 Best Countries for Digital Nomads in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1419,,dup-007,,7,0.387,high,DEEPEN,"high-demand route in template family dup-007 (n=38); rebuild as unique page, keep keyword"
10-best-countries-for-families-with-kids-in-2026-visa-budget-guide,10 Best Countries for Families with Kids in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1404,,dup-007,,7,0.392,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-first-time-travelers-in-2026-visa-budget-guide,10 Best Countries for First-Time Travelers in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1410,,dup-007,,7,0.39,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-foodies-in-2026-visa-budget-guide,10 Best Countries for Foodies in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1393,,dup-007,,7,0.395,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-honeymooners-in-2026-visa-budget-guide,10 Best Countries for Honeymooners in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1389,,dup-007,,7,0.396,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
10-best-countries-for-luxury-travel-on-a-budget-in-2026-visa-budget-guide,10 Best Countries for Luxury Travel on a Budget in 2026 (Visa & Budget Guide),Travel Tips,2026-06-15,1404,,dup-007,,7,0.392,low,CUT,"templated doorway in dup-007 (n=38 near-dupes), low-demand; noindex + remove/redirect"
