slug,audit_label,gsc_impressions,final_action,redirect_target
10-best-africa-countries-to-visit-in-2026-with-visa-tips,CUT,0,NOINDEX,
10-best-asia-countries-to-visit-in-2026-with-visa-tips,CUT,0,NOINDEX,
10-best-budget-destinations-for-bangladesh-travelers-in-2026,CUT,5,LIVE_DEEPEN_QUEUE,
10-best-budget-destinations-for-egypt-travelers-in-2026,CUT,0,NOINDEX,
10-best-budget-destinations-for-india-travelers-in-2026,CUT,0,NOINDEX,
10-best-budget-destinations-for-nepal-travelers-in-2026,CUT,1,NOINDEX,
10-best-budget-destinations-for-nigeria-travelers-in-2026,CUT,0,NOINDEX,
10-best-budget-destinations-for-pakistan-travelers-in-2026,CUT,0,NOINDEX,
10-best-budget-destinations-for-philippines-travelers-in-2026,CUT,0,NOINDEX,
10-best-budget-destinations-for-sri-lanka-travelers-in-2026,CUT,1,NOINDEX,
10-best-countries-for-adventure-seekers-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-beach-lovers-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-digital-nomads-in-2026-visa-budget-guide,DEEPEN,2,LIVE_DEEPEN_QUEUE,
10-best-countries-for-families-with-kids-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-first-time-travelers-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-foodies-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-honeymooners-in-2026-visa-budget-guide,CUT,1,NOINDEX,
10-best-countries-for-luxury-travel-on-a-budget-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-solo-travelers-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-students-on-a-budget-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-countries-for-visa-free-weekend-trips-in-2026-visa-budget-guide,CUT,5,LIVE_DEEPEN_QUEUE,
10-best-countries-for-winter-sun-in-2026-visa-budget-guide,CUT,0,NOINDEX,
10-best-europe-countries-to-visit-in-2026-with-visa-tips,DEEPEN,1,LIVE_DEEPEN_QUEUE,
10-best-middle-east-countries-to-visit-in-2026-with-visa-tips,CUT,0,NOINDEX,
10-best-north-america-countries-to-visit-in-2026-with-visa-tips,DEEPEN,0,LIVE_DEEPEN_QUEUE,
10-best-oceania-countries-to-visit-in-2026-with-visa-tips,CUT,3,LIVE_DEEPEN_QUEUE,
10-best-south-america-countries-to-visit-in-2026-with-visa-tips,DEEPEN,1,LIVE_DEEPEN_QUEUE,
10-dream-destinations-bangladesh-travelers-can-actually-afford-in-2026,CUT,1,NOINDEX,
10-dream-destinations-egypt-travelers-can-actually-afford-in-2026,CUT,2,NOINDEX,
10-dream-destinations-india-travelers-can-actually-afford-in-2026,CUT,0,NOINDEX,
10-dream-destinations-nepal-travelers-can-actually-afford-in-2026,CUT,0,NOINDEX,
10-dream-destinations-nigeria-travelers-can-actually-afford-in-2026,CUT,0,NOINDEX,
10-dream-destinations-pakistan-travelers-can-actually-afford-in-2026,CUT,2,NOINDEX,
10-dream-destinations-philippines-travelers-can-actually-afford-in-2026,CUT,0,NOINDEX,
12-affordable-bucket-list-trips-to-visit-in-2026-visa-cost-guide,CUT,0,NOINDEX,
12-best-countries-for-remote-work-to-visit-in-2026-visa-cost-guide,DEEPEN,0,LIVE_DEEPEN_QUEUE,
12-countries-bangladesh-travelers-can-visit-without-a-sponsor,CUT,0,NOINDEX,
12-countries-egypt-travelers-can-visit-without-a-sponsor,CUT,0,NOINDEX,
12-countries-india-travelers-can-visit-without-a-sponsor,CUT,2,NOINDEX,
12-countries-nepal-travelers-can-visit-without-a-sponsor,CUT,4,LIVE_DEEPEN_QUEUE,
12-countries-nigeria-travelers-can-visit-without-a-sponsor,CUT,0,NOINDEX,
12-countries-pakistan-travelers-can-visit-without-a-sponsor,CUT,0,NOINDEX,
12-countries-philippines-travelers-can-visit-without-a-sponsor,CUT,0,NOINDEX,
12-countries-sri-lanka-travelers-can-visit-without-a-sponsor,CUT,4,LIVE_DEEPEN_QUEUE,
12-easiest-countries-to-get-a-visa-for-bangladesh-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-egypt-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-india-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-nepal-travelers,CUT,1,NOINDEX,
12-easiest-countries-to-get-a-visa-for-nigeria-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-pakistan-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-philippines-travelers,CUT,0,NOINDEX,
12-easiest-countries-to-get-a-visa-for-sri-lanka-travelers,CUT,4,LIVE_DEEPEN_QUEUE,
12-family-friendly-destinations-to-visit-in-2026-visa-cost-guide,CUT,1,NOINDEX,
12-honeymoon-destinations-to-visit-in-2026-visa-cost-guide,CUT,0,NOINDEX,
12-most-beautiful-places-to-visit-in-2026-visa-cost-guide,CUT,0,NOINDEX,
12-off-season-travel-deals-to-visit-in-2026-visa-cost-guide,CUT,0,NOINDEX,
12-safest-countries-for-solo-female-travelers-to-visit-in-2026-visa-cost-guide,CUT,0,NOINDEX,
12-underrated-destinations-to-visit-in-2026-visa-cost-guide,CUT,1,NOINDEX,
15-cheapest-countries-to-visit-from-bangladesh-in-2026,CUT,17,LIVE_DEEPEN_QUEUE,
15-cheapest-countries-to-visit-from-egypt-in-2026,CUT,6,LIVE_DEEPEN_QUEUE,
15-cheapest-countries-to-visit-from-india-in-2026,CUT,0,NOINDEX,
15-cheapest-countries-to-visit-from-nepal-in-2026,CUT,0,NOINDEX,
15-cheapest-countries-to-visit-from-nigeria-in-2026,CUT,4,LIVE_DEEPEN_QUEUE,
15-cheapest-countries-to-visit-from-pakistan-in-2026,CUT,107,LIVE_DEEPEN_QUEUE,
15-cheapest-countries-to-visit-from-philippines-in-2026,CUT,59,LIVE_DEEPEN_QUEUE,
15-cheapest-countries-to-visit-from-sri-lanka-in-2026,CUT,4,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-bangladesh-passport-holders-2026,CUT,0,NOINDEX,
15-countries-with-evisa-for-egypt-passport-holders-2026,CUT,2,NOINDEX,
15-countries-with-evisa-for-india-passport-holders-2026,CUT,3,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-nepal-passport-holders-2026,CUT,5,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-nigeria-passport-holders-2026,CUT,5,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-pakistan-passport-holders-2026,CUT,7,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-philippines-passport-holders-2026,CUT,4,LIVE_DEEPEN_QUEUE,
15-countries-with-evisa-for-sri-lanka-passport-holders-2026,CUT,0,NOINDEX,
20-best-visa-on-arrival-countries-for-bangladesh-citizens,CUT,0,NOINDEX,
20-best-visa-on-arrival-countries-for-egypt-citizens,CUT,6,LIVE_DEEPEN_QUEUE,
20-best-visa-on-arrival-countries-for-india-citizens,CUT,3,LIVE_DEEPEN_QUEUE,
20-best-visa-on-arrival-countries-for-nepal-citizens,CUT,11,LIVE_DEEPEN_QUEUE,
20-best-visa-on-arrival-countries-for-nigeria-citizens,CUT,0,NOINDEX,
20-best-visa-on-arrival-countries-for-pakistan-citizens,CUT,5,LIVE_DEEPEN_QUEUE,
20-best-visa-on-arrival-countries-for-philippines-citizens,CUT,1,NOINDEX,
20-best-visa-on-arrival-countries-for-sri-lanka-citizens,CUT,4,LIVE_DEEPEN_QUEUE,
40-visa-free-countries-for-bangladesh-passport-holders-2026-list,CUT,9,LIVE_DEEPEN_QUEUE,
40-visa-free-countries-for-egypt-passport-holders-2026-list,CUT,45,LIVE_DEEPEN_QUEUE,
40-visa-free-countries-for-india-passport-holders-2026-list,CUT,5,LIVE_DEEPEN_QUEUE,
40-visa-free-countries-for-nepal-passport-holders-2026-list,CUT,13,LIVE_DEEPEN_QUEUE,
40-visa-free-countries-for-nigeria-passport-holders-2026-list,CUT,2,NOINDEX,
40-visa-free-countries-for-pakistan-passport-holders-2026-list,CUT,0,NOINDEX,
40-visa-free-countries-for-philippines-passport-holders-2026-list,CUT,0,NOINDEX,
40-visa-free-countries-for-sri-lanka-passport-holders-2026-list,CUT,15,LIVE_DEEPEN_QUEUE,
abu-dhabi-travel-guide-top-things-to-do-costs-visa-tips-2026,CUT,0,NOINDEX,
accommodation-proof-for-visa-format-sample-common-mistakes,CUT,0,NOINDEX,
affidavit-of-support-for-visa-format-sample-common-mistakes,CUT,8,LIVE_DEEPEN_QUEUE,
amsterdam-travel-guide-top-things-to-do-costs-visa-tips-2026,DEEPEN,0,LIVE_DEEPEN_QUEUE,
australia-student-visa-financial-requirements-2026-proof-of-funds-explained,KEEP,1,LIVE,
australia-student-visa-for-bangladesh-students-2026-complete-step-by-step-guide,DEEPEN,2,LIVE_DEEPEN_QUEUE,
